strain	filter	kwargs
Norway/9045/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8763/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8613/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8861/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8657/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8859/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8692/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/7635/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8862/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/9122/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8110/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8642/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8614/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/9218/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/9136/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8103/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8761/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/7814/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/9287/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8641/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/9307/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8982/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8646/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8111/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/7829/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/7858/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8113/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/7830/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/7400/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/9131/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8760/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/8658/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
Norway/9120/2025	filter_by_exclude	"[[""exclude_file"", ""results/XFG/excluded_by_diagnostics.txt""]]"
